,Track name,artists,genre
7703,Don’t Let Go (LOVE),En Vogue,Pop
291,Times Like This,"Fit For A King, The Ghost Inside",metalcore
413,Orange Crush - Remastered 2013,R.E.M.,Alt. Rock
420,Creep,Radiohead,Alt. Rock
9444,Higher Love,Steve Winwood,Pop
7227,The Power Of Love,Céline Dion,Pop
7135,Mandolin Rain,Bruce Hornsby and the Range,Pop
6169,Tainted Love,Marilyn Manson,metalcore
4432,Fire,Ohio Players,Funk
4082,"Beer,Beer,Beer",The Clancy Brothers,Folk
11700,Save the Last Dance for Me,The Drifters,R&B
9985,Oh How Happy,The Shades of Blue,Pop
6233,Too Fast for Love,Motley Crue,metalcore
7492,Endless Love,Diana Ross & Lionel Richie,Pop
1399,Walk On,Sonny Terry and Brownie McGhee,Blues
12009,Ruff Ryders' Anthem,DMX,Rap
1957,A White Sport Coat (And a Pink Carnation),Marty Robbins,Country
9566,Never My Love,The Association,Pop
4144,Big Nuthin',The Roches,Folk
102,Broken,"If I Were You, Devin Oliver",metalcore
27,Hypochondria,Dragged Under,metalcore
362,Reaching,The Devil Wears Prada,metalcore
4438,Love Rollercoaster,Ohio Players,Funk
14485,Future Starts Now,Kim Petras,Today
2350,Jive Talkin',Bee Gees,Disco
14784,Heartless,The Weeknd,Today
74,Gravity,Holding Absence,metalcore
8375,Footloose,Kenny Loggins,Pop
15114,Laidu,Rokia Traoré,World
7380,She Bop,Cyndi Lauper,Pop
7486,Theme From Mahogany (DO You Know Where You’re Going To),Diana Ross,Pop
5390,Descent Into The Maelstrom,Lennie Tristano,Jazz
8923,No More Lonely Nights,Paul McCartney,Pop
13716,Sing For The Day,Styx,Rock
343,Underneath It All,No Doubt,Alt. Rock
294,ARTIFICIAL SUICIDE,Bad Omens,metalcore
430,Backbreaker,Fit For A King,metalcore
14377,Sold Out Dates (feat. Lil Baby),Gunna,Today
7991,Barracuda,Heart,Pop
346,Bleach,Kingdom Of Giants,metalcore
7382,True Colors,Cyndi Lauper,Pop
6442,Duality,Slipknot,metalcore
14563,No Complaints (feat. Offset & Drake) (Bonus),Metro Boomin,Today
2622,Cry to Me,Loleatta Holloway,Disco
5365,Overture - Communion,Keith Jarrett,Jazz
7557,I’m Leaving It Up To You,Donny and Marie Osmond,Pop
2621,Crash Goes Love (Blaster Mix),Loleatta Holloway,Disco
9913,South Street,The Orlons,Pop
438,Don't Fall Asleep,Hollow Front,metalcore
7061,1st Of Tha Month,Bone Thugs-n-Harmony,Pop
7390,I’m Leaving It Up To You,Dale & Grace,Pop
14793,Red Lights,Toosii,Today
115,Another You,Of Mice & Men,metalcore
7992,Tell It Like It Is,Heart,Pop
485,Kool Thing,Sonic Youth,Alt. Rock
12351,Never Leave Me Alone,Nate Dogg,Rap
1837,Yonder Comes a Sucker,Jim Reeves,Country
12146,Work Out,J. Cole,Rap
8116,Hold On,Jamie Walters,Pop
8371,Forever In Love,Kenny G,Pop
4926,For All We Know,Ahmad Jamal,Jazz
10766,C'Mon Everybody - Remastered 2012,Sex Pistols,Punk
10788,Spellbound,Siouxsie and the Banshees,Punk
6687,Amazing,Aerosmith,Pop
5431,What's Your Story Morning Glory,Mary Lou Williams,Jazz
9167,Young Emotions,Ricky Nelson,Pop
9702,Come Go with Me,The Del-Vikings,Pop
174,Oblivion,Aviana,metalcore
13531,Gemini Dream,Moody Blues,Rock
14491,Bloody Mary,Lady Gaga,Today
14682,Confidence,RAYE,Today
2668,Ecstasy,Ohio Players,Disco
5375,Chitlins Con Carne,Kenny Burrell,Jazz
