,Track name,artists,genre,Likes
144,Nothing Lasts Forever,Echo & the Bunnymen,Alt. Rock,DISLIKE
145,Alison,Elvis Costello,Alt. Rock,DISLIKE
146,Watching The Detectives,Elvis Costello,Alt. Rock,DISLIKE
147,(I Don't Want To Go To) Chelsea - 2021 Remaster,Elvis Costello & The Attractions,Alt. Rock,DISLIKE
148,"(What's So Funny 'Bout) Peace,Love And Understanding",Elvis Costello & The Attractions,Alt. Rock,DISLIKE
149,Pump It Up - 2021 Remaster,Elvis Costello & The Attractions,Alt. Rock,DISLIKE
150,"Radio,Radio - 2021 Remaster",Elvis Costello & The Attractions,Alt. Rock,DISLIKE
151,Accidents Will Happen,Elvis Costello & The Attractions,Alt. Rock,DISLIKE
152,Oliver's Army,Elvis Costello & The Attractions,Alt. Rock,DISLIKE
153,Everyday I Write The Book,Elvis Costello & The Attractions,Alt. Rock,DISLIKE
154,Shipbuilding,Elvis Costello & The Attractions,Alt. Rock,DISLIKE
155,Santa Monica,Everclear,Alt. Rock,DISLIKE
156,Wonderful,Everclear,Alt. Rock,DISLIKE
157,Dog Days Are Over,Florence + The Machine,Alt. Rock,DISLIKE
158,Kiss With A Fist,Florence + The Machine,Alt. Rock,DISLIKE
159,Cosmic Love,Florence + The Machine,Alt. Rock,DISLIKE
160,Rabbit Heart (Raise It Up),Florence + The Machine,Alt. Rock,DISLIKE
161,Shake It Out,Florence + The Machine,Alt. Rock,DISLIKE
162,What The Water Gave Me,Florence + The Machine,Alt. Rock,DISLIKE
163,Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,Alt. Rock,DISLIKE
164,Ship To Wreck,Florence + The Machine,Alt. Rock,DISLIKE
165,Hunger,Florence + The Machine,Alt. Rock,DISLIKE
166,Big Me,Foo Fighters,Alt. Rock,DISLIKE
167,Everlong,Foo Fighters,Alt. Rock,DISLIKE
168,Monkey Wrench,Foo Fighters,Alt. Rock,DISLIKE
169,My Hero,Foo Fighters,Alt. Rock,DISLIKE
170,Learn to Fly,Foo Fighters,Alt. Rock,DISLIKE
171,All My Life,Foo Fighters,Alt. Rock,DISLIKE
172,Times Like These,Foo Fighters,Alt. Rock,DISLIKE
173,Best of You,Foo Fighters,Alt. Rock,DISLIKE
174,The Pretender,Foo Fighters,Alt. Rock,DISLIKE
175,Walk,Foo Fighters,Alt. Rock,DISLIKE
176,Only Happy When It Rains,Garbage,Alt. Rock,DISLIKE
177,Vow,Garbage,Alt. Rock,DISLIKE
